"","gene","Pr..Chisq.","fdr","logfc"
"Npm1","Npm1",1.27816370497109e-10,9.75483661644957e-09,-0.441625345667742
"Nrgn","Nrgn",2.20422645412158e-10,1.59728490725942e-08,0.694541727412405
"Nsa2","Nsa2",3.43697817366995e-08,2.00462450552099e-06,-0.188548605840956
"Nsmf","Nsmf",7.31442031158509e-06,0.000299849436087494,0.223311064699287
"Nucks1","Nucks1",3.37236018556399e-08,1.98305835829804e-06,-0.387872640967379
"Pcp4","Pcp4",3.46630553920404e-19,5.18068248713538e-17,-1.41430724498737
"Pcsk1n","Pcsk1n",3.00959047888568e-07,1.55329511478604e-05,-0.777224061140356
"Pdap1","Pdap1",4.60171465102055e-07,2.27673799354631e-05,-0.476822516218755
"Pebp1","Pebp1",2.79085727717864e-39,1.00108050532398e-36,-1.93101110660857
"Pfdn2","Pfdn2",0.000731151637524221,0.0193552835704751,0.279057838346845
"Pfdn5","Pfdn5",8.03841807245004e-23,1.51756871715149e-20,-1.45994440979857
"Pfn2","Pfn2",8.08541744163041e-13,7.25059809078207e-11,0.884051756381587
"Pgls","Pgls",0.000283439862195589,0.00847248988079649,-0.277951466345042
"Polr1d","Polr1d",4.83285915682906e-05,0.00171638275203424,-0.308477718219041
"Ppdpf","Ppdpf",0.00219024529914778,0.049256488326289,-0.306722132319424
"Ppia","Ppia",2.43896394010824e-41,9.72062628129805e-39,-0.32790325379851
"Ppig","Ppig",0.00211291701183404,0.0479685653256248,-0.057917365462542
"Ppp1r14b","Ppp1r14b",0.000260862420163715,0.00799755129168585,-0.183461681376105
"Ppp2ca","Ppp2ca",0.00121264900695607,0.0301022282903213,0.20853735288731
"Ppp2r2b","Ppp2r2b",5.85288891034155e-06,0.000241804736473967,0.273811742107341
"Prdx2","Prdx2",3.88026913581221e-11,3.163301225036e-09,-0.896166255003288
"Psma7","Psma7",0.000147319423986974,0.00473932532593071,-0.552666975375397
"Psmb3","Psmb3",0.000542934803409429,0.0149234263588477,0.352026876452528
"Psmg4","Psmg4",2.59633019467666e-06,0.000117145112054153,-0.180883221204353
"Ptgds","Ptgds",7.2484466010226e-38,2.47620742455886e-35,-0.55722513189623
"Ptma","Ptma",1.20430871961185e-11,1.0164365593524e-09,-1.05768206530569
"Ptprz1","Ptprz1",1.64914381375288e-05,0.000616195714576206,-0.250905068767339
"Qk","Qk",2.05721425227559e-08,1.21970702858058e-06,-0.220296922950526
"Rab11a","Rab11a",1.67633357855855e-05,0.000623109693916011,0.263009724006164
"Rab18","Rab18",2.88964285273125e-06,0.000128759613822944,0.19855287714721
"Rab1a","Rab1a",0.000500413513255872,0.0139687414167223,0.124181873373923
"Rab3a","Rab3a",2.34199223604459e-05,0.000852865599055021,0.444717707662506
"Rabep1","Rabep1",0.000514255768461642,0.0142994995462939,-0.0646282214860145
"Rbp1","Rbp1",4.43097046873654e-06,0.000190346000854586,-0.112791377805692
"Rcn2","Rcn2",0.000782025315106249,0.0205178997335313,0.147813281408293
"Rgcc","Rgcc",0.0002066643291616,0.00647427902797084,-0.159748333239681
"Rheb","Rheb",2.07831502040378e-07,1.12103999672005e-05,0.377265237462274
"Rnf187","Rnf187",0.00159724079352897,0.0380306733702227,-0.263053662618865
"Rtf1","Rtf1",0.000718858461570505,0.019171340532739,-0.155411044780848
"Rtn1","Rtn1",0.00130176148177721,0.0322028857595507,-0.455861148603404
"Scand1","Scand1",1.26177126513647e-06,5.80253016415966e-05,-0.406946952175143
"Scoc","Scoc",0.00209414221060229,0.0476932578376534,0.231436658455038
"Sdhb","Sdhb",1.00520179283412e-05,0.000400628758988444,0.382920479198443
"Sec61g","Sec61g",8.86447405351966e-10,6.17414920970389e-08,-0.991700108494155
"Sec62","Sec62",0.000132166719335034,0.00430983656595243,-0.279107830232041
"Selk","Selk",9.39358157997488e-10,6.47976483218652e-08,0.706371130008005
"Sep15","Sep15",0.00155596720875803,0.037208362518767,0.236724573506057
"Sept7","Sept7",4.05526448304535e-06,0.00017525582771908,0.353942668186234
"Serbp1","Serbp1",2.62528394796126e-07,1.3793319624356e-05,-0.354302153434767
"Serf2","Serf2",0.000471692711443493,0.013375191746623,-0.311353836350064
"Serinc1","Serinc1",3.26248107984483e-06,0.000144475551029672,NA
"Serpine2","Serpine2",0.00177071822355344,0.0414308696047062,0.308077079392615
"Slc25a4","Slc25a4",7.31999457075423e-20,1.16696980112424e-17,1.25792255638167
"Slc25a5","Slc25a5",5.2509079372232e-06,0.000220292476851691,0.564334955337904
"Smdt1","Smdt1",1.82781744736748e-15,1.98678217688096e-13,-1.1299542956567
"Smyd2","Smyd2",6.37918270289617e-05,0.00218967735457307,0.0794927115323415
"Snap25","Snap25",0.000153551547097503,0.00487424247290924,0.260649006608085
"Snca","Snca",2.58718712799271e-17,3.43712601041106e-15,1.01078337904498
"Sncb","Sncb",2.0830984407586e-19,3.24872787260918e-17,0.967827205916326
"Snhg6","Snhg6",1.22482098257661e-05,0.000472412135967989,-0.284987668336477
"Snrpd1","Snrpd1",5.43446496009658e-06,0.000226667741998447,-0.257654060313982
"Snrpd2","Snrpd2",0.00160095669888588,0.0380306733702227,-0.433839830724309
"Snrpe","Snrpe",5.0934066024352e-08,2.92320791726961e-06,-0.404017207845242
"Snrpg","Snrpg",2.88752404990197e-19,4.40746756042484e-17,-1.07353047005948
"Snrpn","Snrpn",9.55005855294165e-38,3.11418727540015e-35,1.60057390626158
"Son","Son",2.82808983996854e-15,2.97647779517525e-13,-0.379359759998442
"Sox4","Sox4",2.36623264995849e-06,0.000107438943232925,-0.358407682970907
"Sptbn1","Sptbn1",0.00189331381526315,0.0436740620922761,-0.130963869113522
"Sptssa","Sptssa",0.000120011022682519,0.00394935356295593,0.230015685001798
"Srrm2","Srrm2",9.07742670083028e-06,0.000367917848315008,-0.141830126359672
"Srsf3","Srsf3",0.000279578140664431,0.00839202335199426,-0.181228356607379
"Ssb","Ssb",0.000444715685427061,0.0127145426601375,-0.105105494846045
"Ssr4","Ssr4",7.96626956123887e-05,0.00270853165082122,-0.183074231779511
"Stard3nl","Stard3nl",3.63905319921535e-06,0.000159186388116896,0.127663154555909
"Stmn2","Stmn2",5.82650574074285e-61,5.22491902301115e-58,-0.640802185235801
"Stmn3","Stmn3",4.71745952477156e-24,9.66944418020318e-22,-1.36687999088138
"Stx1a","Stx1a",0.00015338776888537,0.00487424247290924,0.180768826827215
"Stx7","Stx7",0.00212778959448002,0.0481538250813869,0.186158378600287
"Sult4a1","Sult4a1",2.80637467389994e-05,0.00101681474295748,0.149950069882572
"Sumo1","Sumo1",7.29711081905262e-09,4.51288560481754e-07,0.42827981500879
"Tbca","Tbca",2.25287682508734e-14,2.15495177909021e-12,-1.0085491470906
"Tceb1","Tceb1",1.625279491474e-08,9.79811350574327e-07,0.551117430988877
"Tceb2","Tceb2",6.12057405220691e-13,5.62935875006826e-11,-0.712179641954076
"Tcf25","Tcf25",8.13046026769613e-05,0.00275131707360623,-0.32039469704815
"Thoc7","Thoc7",0.000624767823541214,0.0169775922957753,-0.23378395573713
"Timm8b","Timm8b",7.96607268549901e-07,3.83547687555503e-05,-0.712166582823508
"Tma7","Tma7",6.2495143170485e-23,1.211730154338e-20,-1.25260050627388
"Tmem256","Tmem256",5.20451937641616e-11,4.14858022293439e-09,-0.780115640609183
"Tmem261","Tmem261",0.000126858435561468,0.00415562747359803,-0.113822983395547
"Tmsb10","Tmsb10",1.03473339593617e-107,1.85579434561151e-104,-0.410406004728118
"Tmsb4x","Tmsb4x",3.11269648759346e-32,9.0189232761968e-30,-0.272103859810926
"Tomm7","Tomm7",1.83898061643647e-09,1.23297634974908e-07,-0.852603210958363
"Top1","Top1",5.46924274116529e-05,0.00191396816707902,-0.191496493262192
"Tpr","Tpr",0.000773527667738154,0.0204017922365938,-0.0914439391995786
"Tpt1","Tpt1",9.00624846979613e-44,4.03817665764484e-41,-2.05642817115742
"Trappc2l","Trappc2l",2.61706480731339e-06,0.000117342643297914,-0.28425378220709
"Tshz2","Tshz2",0.000789924820978533,0.0206069842389091,-0.0847151122037521
"Ttc3","Ttc3",4.39153873972822e-05,0.00156740790640847,-0.411035001005841
"Tuba1a","Tuba1a",1.91134554363612e-20,3.26476022143941e-18,0.167377032946071
"Tubb2a","Tubb2a",0.000602895507898296,0.016445522333317,0.536274760236816
"Tubb2b","Tubb2b",7.88675836498295e-18,1.13159209020775e-15,-1.02655127178712
"Tubb3","Tubb3",2.24275528928248e-05,0.000825103920272436,0.601894205576974
"Tubb5","Tubb5",3.89552485688954e-12,3.36704762931633e-10,-0.755213795203293
"Tulp4","Tulp4",0.000132787285009954,0.00431047955955391,-0.0968489633293712
"Uap1","Uap1",0.000631343791636491,0.0170915485328309,NA
"Ubb","Ubb",0.000251385682669808,0.00777345210117758,0.113925255358307
"Ubc","Ubc",1.4771403789701e-48,7.56928934195106e-46,1.40251714466663
"Ube2v2","Ube2v2",1.37454559710905e-05,0.000527325674527289,0.223416579063952
"Ubl5","Ubl5",1.1850497068491e-11,1.01208888058755e-09,-1.09098734775048
"Uchl1","Uchl1",3.70094736357428e-17,4.79812999862253e-15,-1.07514509513116
"Uqcr11","Uqcr11",3.41809161429438e-06,0.000150437970803361,-0.449778091482848
"Uqcrb","Uqcrb",1.13399008276885e-12,1.00435121651651e-10,0.984124192668164
"Uqcrh","Uqcrh",3.14292001540173e-32,9.0189232761968e-30,-1.68891937770766
"Uqcrq","Uqcrq",3.90123630561575e-08,2.25705397229737e-06,-0.369612412205477
"Use1","Use1",0.000482755107093626,0.013581510346234,-0.157007165712697
"Usp47","Usp47",0.00133619343506904,0.0328282592574839,NA
"Usp50","Usp50",0.000376007214451178,0.0109653486035478,0.226607731874867
"Vamp2","Vamp2",1.09099757912653e-28,2.69890228712196e-26,1.45902632138721
