"gene" "pval" "padj" "logfc" "method"
"Myl6b" "Myl6b" 7.08442713302852e-09 5.08236802523466e-05 -0.174230794282578 "seurat"
"Mdh2" "Mdh2" 7.18409623303367e-09 5.15387063757836e-05 0.178626979028888 "seurat"
"Mpc1" "Mpc1" 7.22655698469953e-09 5.18433198082344e-05 0.182648441334582 "seurat"
"Nipbl" "Nipbl" 7.29896788650648e-09 5.23627956177975e-05 -0.122372608251299 "seurat"
"Vim" "Vim" 8.15615750668945e-09 5.85122739529901e-05 -0.17512237721503 "seurat"
"Nefl" "Nefl" 8.9814206028411e-09 6.44327114047821e-05 0.286177761206231 "seurat"
"Ap2b1" "Ap2b1" 9.399341618236e-09 6.7430876769225e-05 -0.180093195598791 "seurat"
"Tomm7" "Tomm7" 1.11213013786324e-08 7.97842160903086e-05 -0.12943799174375 "seurat"
"Dynlt1f" "Dynlt1f" 1.22759745689858e-08 8.8067841557904e-05 -0.155385918435217 "seurat"
"Fnbp1l" "Fnbp1l" 1.40210740107891e-08 0.000100587184953401 -0.179197642952691 "seurat"
"Mt3" "Mt3" 1.53036196243191e-08 0.000109788167184865 -0.0884249661022167 "seurat"
"Nenf" "Nenf" 1.54451508606473e-08 0.000110803512274284 -0.140913663514426 "seurat"
"Tmod2" "Tmod2" 1.58010395244838e-08 0.000113356657548647 -0.149977623300952 "seurat"
"Iqcc" "Iqcc" 1.59787323377994e-08 0.000114631425791373 0.268367124781182 "seurat"
"Mmd" "Mmd" 1.66158156366546e-08 0.00011920186137736 0.251019625185334 "seurat"
"Hmgn1" "Hmgn1" 1.74607269716545e-08 0.00012526325529465 -0.16919893801841 "seurat"
"Nfib" "Nfib" 1.78468244519242e-08 0.000128033118618104 -0.166875807577978 "seurat"
"Cplx2" "Cplx2" 1.79051109141818e-08 0.00012845126569834 0.248459857766425 "seurat"
"Sfrp1" "Sfrp1" 1.9374630522948e-08 0.000138993599371629 -0.118238955654613 "seurat"
"Cox7c" "Cox7c" 1.97080965741564e-08 0.000141385884822998 -0.0617316869269144 "seurat"
"Cmpk1" "Cmpk1" 2.02668760468517e-08 0.000145394568760114 0.251141711350257 "seurat"
"Prrc2b" "Prrc2b" 2.39165716731218e-08 0.000171577485182976 -0.164495196846582 "seurat"
"Sox4" "Sox4" 2.40212794404712e-08 0.00017232865870594 -0.15347268167387 "seurat"
"Tcf4" "Tcf4" 2.52450271608759e-08 0.000181107824852124 -0.14651048125225 "seurat"
"Cops6" "Cops6" 2.70552500030116e-08 0.000194094363521605 0.237109088376824 "seurat"
"Scand1" "Scand1" 2.72875370884335e-08 0.000195760791072422 -0.155933724725814 "seurat"
"Vsnl1" "Vsnl1" 2.78616828938119e-08 0.000199879713080206 0.264452862548425 "seurat"
"Kctd13" "Kctd13" 2.92695301152522e-08 0.000209979609046819 0.267724748447159 "seurat"
"Pfdn6" "Pfdn6" 3.18338124615683e-08 0.000228375770599291 -0.149257726931641 "seurat"
"Ttc3" "Ttc3" 3.49341073014094e-08 0.000250617285780311 -0.144405450188988 "seurat"
"Sub1" "Sub1" 3.56740376775559e-08 0.000255925546298786 0.141687136582056 "seurat"
"Ctxn2" "Ctxn2" 3.72155421114318e-08 0.000266984299107412 -0.152511847801201 "seurat"
"Kif5c" "Kif5c" 4.07037306826572e-08 0.000292008563917383 -0.146972650841601 "seurat"
"Fis1" "Fis1" 4.08065791241913e-08 0.000292746398636948 -0.132014749625788 "seurat"
"Lsm5" "Lsm5" 4.43225735955588e-08 0.000317970142974539 -0.159956869171404 "seurat"
