"gene" "pval" "padj" "logfc" "method"
"Sumo1" "Sumo1" 8.22470841318682e-12 5.90040581562022e-08 0.297484761464001 "seurat"
"Eif3h" "Eif3h" 8.78222677883983e-12 6.3003694911397e-08 -0.117397880111776 "seurat"
"Nucks1" "Nucks1" 9.20570441197329e-12 6.60417234514964e-08 -0.148020656622272 "seurat"
"Bod1l" "Bod1l" 9.35095821086513e-12 6.70837742047465e-08 -0.209656871219145 "seurat"
"Snca" "Snca" 9.44221339525897e-12 6.77384388975878e-08 0.266756816230028 "seurat"
"Hras" "Hras" 1.0507105850587e-11 7.53779773721115e-08 -0.118263704144459 "seurat"
"Chchd2" "Chchd2" 1.05729845371946e-11 7.58505910698342e-08 -0.0581070738088405 "seurat"
"Atpif1" "Atpif1" 1.08372080806793e-11 7.77461307707931e-08 -0.00982310140273768 "seurat"
"Srsf11" "Srsf11" 1.12988867413166e-11 8.10582134822052e-08 -0.207276401799321 "seurat"
"Wdfy1" "Wdfy1" 1.3585940226235e-11 9.74655351830102e-08 -0.19339962207749 "seurat"
"Serbp1" "Serbp1" 1.42147387403721e-11 1.0197653572343e-07 -0.14469525947706 "seurat"
"Agl" "Agl" 1.50377479362544e-11 1.07880803694689e-07 0.364740191197541 "seurat"
"Tcf25" "Tcf25" 1.57334550488089e-11 1.12871806520155e-07 -0.119056900611479 "seurat"
"Sp8" "Sp8" 1.72891370767142e-11 1.24032269388348e-07 -0.166584705064926 "seurat"
"Vapa" "Vapa" 1.99571360346702e-11 1.43172493912724e-07 0.295141771187524 "seurat"
"Hmgn1" "Hmgn1" 2.04367189003561e-11 1.46613021391155e-07 -0.16919893801841 "seurat"
"Lsm5" "Lsm5" 2.04590471743961e-11 1.46773204429118e-07 -0.159956869171404 "seurat"
"Edf1" "Edf1" 2.24098876188556e-11 1.6076853377767e-07 -0.0915818424895147 "seurat"
"Kdm5b" "Kdm5b" 2.75753543739691e-11 1.97825592278854e-07 -0.166962451848032 "seurat"
"Gnai2" "Gnai2" 3.02918431778393e-11 2.17313682957819e-07 -0.115061015167196 "seurat"
"Anapc13" "Anapc13" 3.14468527316546e-11 2.2559972149689e-07 -0.0940387895504264 "seurat"
"Pin4" "Pin4" 3.24674750956176e-11 2.32921666335961e-07 -0.173087510392434 "seurat"
"Srsf3" "Srsf3" 3.44166104795889e-11 2.46904763580571e-07 -0.167146099456342 "seurat"
"Fgf13" "Fgf13" 3.55939935817953e-11 2.553513099558e-07 0.296331350614412 "seurat"
"Psme1" "Psme1" 3.69024696537455e-11 2.6473831729597e-07 -0.177623790466349 "seurat"
"Ndufb11" "Ndufb11" 3.92411624717317e-11 2.81516099572203e-07 -0.0698212022683831 "seurat"
"Epb41l4aos" "Epb41l4aos" 4.44980330564721e-11 3.19228889147131e-07 -0.201487978777032 "seurat"
"Myl6" "Myl6" 4.4516884877507e-11 3.19364132111236e-07 -0.0628859371384611 "seurat"
"Sepw1" "Sepw1" 4.45543076710929e-11 3.19632603232421e-07 0.00684332454181025 "seurat"
"Tpr" "Tpr" 4.91812439247658e-11 3.5282624391627e-07 -0.224256722644907 "seurat"
"Anapc11" "Anapc11" 5.07223798388564e-11 3.63882352963956e-07 -0.105215352310806 "seurat"
"Slc25a4" "Slc25a4" 5.44737824445516e-11 3.90794915257213e-07 0.216975704541406 "seurat"
"Myl6b" "Myl6b" 5.47056536706153e-11 3.92458359432994e-07 -0.174230794282578 "seurat"
"Ndufs5" "Ndufs5" 5.93449300511193e-11 4.2574052818673e-07 -0.0501356118888325 "seurat"
"Sec62" "Sec62" 6.24410885626857e-11 4.47952369348707e-07 -0.132725060838601 "seurat"
"R3hdm4" "R3hdm4" 6.9723767608169e-11 5.00198308821004e-07 -0.124491426126035 "seurat"
"Ndufs4" "Ndufs4" 7.13822102493598e-11 5.12095976328907e-07 -0.108075491960361 "seurat"
"Mphosph8" "Mphosph8" 8.60263898436476e-11 6.17153320738328e-07 -0.20009677576415 "seurat"
"Dstn" "Dstn" 9.78640953260955e-11 7.02077019869409e-07 -0.134425685002801 "seurat"
"Crlf1" "Crlf1" 1.04967589005136e-10 7.53037483522846e-07 -0.185809917038896 "seurat"
"Erdr1" "Erdr1" 1.06569260977376e-10 7.64527878251693e-07 -0.200901061643892 "seurat"
"Gng11" "Gng11" 1.34810444598827e-10 9.67130129551984e-07 -0.15049901152566 "seurat"
"N4bp2l2" "N4bp2l2" 1.51481637704269e-10 1.08672926889043e-06 -0.194664149981533 "seurat"
"Cald1" "Cald1" 1.84697967672479e-10 1.32502322008237e-06 -0.147712444569334 "seurat"
"Meg3" "Meg3" 1.88711390314519e-10 1.35381551411636e-06 -0.218583098174745 "seurat"
"Apc2" "Apc2" 1.90751479912053e-10 1.36845111688907e-06 -0.20118957515807 "seurat"
"S100a16" "S100a16" 2.20873326065299e-10 1.58454524119245e-06 -0.106788109236324 "seurat"
"Snrpd2" "Snrpd2" 2.35165166325039e-10 1.68707490321583e-06 -0.075348604015387 "seurat"
"Ctnnb1" "Ctnnb1" 2.39382834145245e-10 1.71733245215799e-06 -0.137254409318769 "seurat"
"Rlbp1" "Rlbp1" 2.80928686792754e-10 2.01538239905122e-06 -0.16754707839657 "seurat"
"Rsrc2" "Rsrc2" 2.82262672261972e-10 2.02495241080739e-06 -0.188137868988884 "seurat"
"Kif5c" "Kif5c" 3.11195401444086e-10 2.23251580995987e-06 -0.146972650841601 "seurat"
"Fnbp1l" "Fnbp1l" 3.16638400569502e-10 2.27156388568561e-06 -0.179197642952691 "seurat"
"Ube2v2" "Ube2v2" 3.19503629005545e-10 2.29211903448578e-06 0.299682324464645 "seurat"
"Ramp2" "Ramp2" 3.29142377786829e-10 2.36126741824271e-06 -0.17823974935716 "seurat"
"Ifitm3" "Ifitm3" 3.38139521719636e-10 2.42581292881667e-06 -0.151758141980657 "seurat"
"H2afv" "H2afv" 3.4779788446331e-10 2.49510202313978e-06 -0.14123961704403 "seurat"
"Tiam2" "Tiam2" 3.60897798648755e-10 2.58908080750617e-06 -0.137142800851534 "seurat"
"Cuta" "Cuta" 3.65094681450689e-10 2.61918924472724e-06 -0.158174192583092 "seurat"
"Myt1l" "Myt1l" 3.97080168791001e-10 2.84865313090664e-06 -0.184448711770424 "seurat"
"Vim" "Vim" 4.85169358564514e-10 3.48060497834183e-06 -0.17512237721503 "seurat"
"Gon4l" "Gon4l" 4.96668601208425e-10 3.56310054506924e-06 -0.164215581101921 "seurat"
"Pbx1" "Pbx1" 5.29308004590079e-10 3.79725562492923e-06 -0.193189323830247 "seurat"
"Ube2r2" "Ube2r2" 5.38534110248906e-10 3.86344370692565e-06 -0.180302515324732 "seurat"
"Ndufa1" "Ndufa1" 5.84622185143997e-10 4.19407955622303e-06 0.228664445188482 "seurat"
"2700094K13Rik" "2700094K13Rik" 6.69996298356799e-10 4.80655344441168e-06 -0.10441002664772 "seurat"
"Zbtb20" "Zbtb20" 7.10960748047668e-10 5.10043240649397e-06 -0.175800203237999 "seurat"
"Zmat2" "Zmat2" 7.31572464426387e-10 5.2483008597949e-06 -0.131071807688047 "seurat"
"Hnrnpab" "Hnrnpab" 7.52624138399088e-10 5.39932556887506e-06 -0.1814090174327 "seurat"
"Rnf187" "Rnf187" 8.08277011706304e-10 5.79857928198103e-06 -0.108400468761688 "seurat"
"Smc3" "Smc3" 8.27356909391272e-10 5.93545846797299e-06 -0.174896265791675 "seurat"
"Uqcr11" "Uqcr11" 1.00328231161884e-09 7.19754730355359e-06 0.00142684900654499 "seurat"
"Marcks" "Marcks" 1.21985818944192e-09 8.75126265105632e-06 -0.0825553683480984 "seurat"
"Hist1h2bc" "Hist1h2bc" 1.24965339317127e-09 8.96501344261066e-06 0.30224480547773 "seurat"
"Eif3k" "Eif3k" 1.28246924248046e-09 9.20043434555483e-06 -0.093786226946275 "seurat"
"Ap2b1" "Ap2b1" 1.30189688579626e-09 9.33980825870236e-06 -0.180093195598791 "seurat"
"Gltscr2" "Gltscr2" 1.5486027067529e-09 1.11096758182453e-05 -0.154479781168752 "seurat"
"Ncl" "Ncl" 1.60052383220149e-09 1.14821579722135e-05 -0.129182060463644 "seurat"
