"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Syt112",5.91722610865948e-43,0.323300054547507,0.47,0.173,8.8361937480612e-39,"8","Syt11"
"Ergic32",6.98636244160759e-43,0.413228957541062,0.518,0.208,1.04327350340526e-38,"8","Ergic3"
"Cltc2",7.13171042342439e-43,0.377156528576333,0.389,0.135,1.06497831752996e-38,"8","Cltc"
"Ppp3ca1",7.22447604415095e-43,0.523244316941322,0.539,0.232,1.07883100767306e-38,"8","Ppp3ca"
"Inpp5f",1.11491393090119e-42,0.343883879480481,0.38,0.129,1.66490097301475e-38,"8","Inpp5f"
"Srcin1",1.16307703440366e-42,0.38279172742309,0.276,0.081,1.73682293547498e-38,"8","Srcin1"
"Fsd1",1.23006111046314e-42,0.380010293567966,0.334,0.106,1.8368502562546e-38,"8","Fsd1"
"Pak3",2.17660476723751e-42,0.356167156768377,0.316,0.099,3.25032389891577e-38,"8","Pak3"
"Rbm397",2.75811870757175e-42,0.399047167290694,0.687,0.31,4.11869866601689e-38,"8","Rbm39"
"Klc12",3.67310531415338e-42,0.478971348942756,0.604,0.271,5.48504816562525e-38,"8","Klc1"
"Golgb11",4.60159919422666e-42,0.349805911210768,0.272,0.08,6.87156807673867e-38,"8","Golgb1"
"Son7",5.17116436822236e-42,0.501121513252937,0.707,0.343,7.72209975106644e-38,"8","Son"
"Dync1h1",5.57527364187268e-42,0.372643821643606,0.302,0.094,8.32555612940847e-38,"8","Dync1h1"
"Srsf53",8.06360876477608e-42,0.489126673559152,0.465,0.184,1.20413869684401e-37,"8","Srsf5"
"Dbn12",8.57828419873818e-42,0.402361780368769,0.507,0.2,1.28099517939757e-37,"8","Dbn1"
"Ccdc88a3",9.05959096362759e-42,0.318004663526406,0.389,0.136,1.35286871859851e-37,"8","Ccdc88a"
"Ina",1.09681057396994e-41,0.350759048417609,0.357,0.119,1.63786723010932e-37,"8","Ina"
"Scamp3",1.91052705700134e-41,0.287495857747441,0.267,0.077,2.8529900542201e-37,"8","Scamp3"
"Alcam1",2.27963714213647e-41,0.471420680198828,0.251,0.073,3.40418214435239e-37,"8","Alcam"
"Actr1b",2.44895190587208e-41,0.371577782602815,0.283,0.086,3.65701988103878e-37,"8","Actr1b"
"G3bp21",3.85994039598246e-41,0.344179812186585,0.415,0.151,5.76404899332061e-37,"8","G3bp2"
"Nav11",5.46310325597026e-41,0.444313280693769,0.373,0.132,8.1580520921404e-37,"8","Nav1"
"Ubqln2",6.13427994085994e-41,0.343279025795751,0.373,0.129,9.16032023568615e-37,"8","Ubqln2"
"Zranb2",6.81837138354664e-41,0.372752978116486,0.537,0.217,1.01818739870502e-36,"8","Zranb2"
"Wrb",1.1224182300039e-40,0.271904563826247,0.272,0.079,1.67610714286483e-36,"8","Wrb"
"Pdia63",1.58116739546035e-40,0.331179914562589,0.429,0.158,2.36115727164095e-36,"8","Pdia6"
"Dusp26",1.79099256750154e-40,0.356560911056639,0.44,0.163,2.67448920105005e-36,"8","Dusp26"
"Matk",2.63101059284544e-40,0.516669515275752,0.357,0.127,3.92888811829609e-36,"8","Matk"
"Birc6",2.68198267795233e-40,0.391242160298555,0.304,0.098,4.00500473298622e-36,"8","Birc6"
"Fzr1",7.54690099752023e-40,0.284994118538311,0.251,0.072,1.1269787259597e-35,"8","Fzr1"
"Rusc1",1.14481165598962e-39,0.27755271934059,0.256,0.073,1.7095472458893e-35,"8","Rusc1"
"Ddost2",1.21883120627797e-39,0.311291606150677,0.346,0.117,1.8200806403349e-35,"8","Ddost"
